"","gene","locus","gene.length..nt."
"3863","yicS","b4555",294
"3864","yidA","b3697",813
"3865","yidB","b3698",399
"3866","yidC","b3705",1647
"3867","yidD","b4557",258
"3868","yidE","b3685",1662
"3869","yidF","b3674",498
"3870","yidG","b3675",363
"3871","yidH","b3676",348
"3872","yidI","b3677",450
"3873","yidJ","b3678",1494
"3874","yidK","b3679",1716
"3875","yidL","b3680",924
"3876","yidP","b3684",717
"3877","yidQ","b3688",333
"3878","yidR","b3689",1248
"3879","yidX","b3696",657
"3880","yidZ","b3711",960
"3881","yieE","b3712",762
"3882","yieF","b3713",567
"3883","yieH","b3715",666
"3884","yieK","b3718",723
"3885","yieL","b3719",1197
"3886","yieP","b3755",693
"3887","yifB","b3765",1551
"3888","yifE","b3764",339
"3889","yifK","b3795",1386
"3890","yifL","b4558",204
"3891","yifN","b3777",219
"3892","yifO","b3776",276
"3893","yigA","b3810",708
"3894","yigB","b3812",717
"3895","yigE","b4482",765
"3896","yigF","b3817",381
"3897","yigG","b3818",381
"3898","yigI","b3820",468
"3899","yigL","b3826",801
"3900","yigM","b3827",900
"3901","yigZ","b3848",615
"3902","yihA","b3865",597
"3903","yihD","b3858",270
"3904","yihF","b3861",1431
"3905","yihG","b3862",933
"3906","yihI","b3866",510
"3907","yihL","b3872",711
"3908","yihM","b3873",981
"3909","yihN","b3874",1266
"3910","yihO","b3876",1404
"3911","yihP","b3877",1407
"3912","yihQ","b3878",2037
"3913","yihR","b3879",927
"3914","yihS","b3880",1242
"3915","yihT","b3881",879
"3916","yihU","b3882",897
"3917","yihV","b3883",897
"3918","yihW","b3884",786
"3919","yihX","b3885",600
"3920","yihY","b3886",873
"3921","yiiD","b3888",990
"3922","yiiE","b3889",219
"3923","yiiF","b3890",219
"3924","yiiG","b3896",1056
"3925","yiiM","b3910",675
"3926","yiiQ","b3920",600
"3927","yiiR","b3921",441
"3928","yiiS","b3922",300
"3929","yiiX","b3937",609
"3930","yijD","b3964",360
"3931","yijE","b3943",906
"3932","yijF","b3944",618
"3933","yijO","b3954",852
"3934","yjaA","b4011",384
"3935","yjaB","b4012",444
"3936","yjaG","b3999",591
"3937","yjaH","b4001",696
"3938","yjaZ","b3989",540
"3939","yjbB","b4020",1632
"3940","yjbD","b4023",273
"3941","yjbE","b4026",243
"3942","yjbF","b4027",639
"3943","yjbG","b4028",738
"3944","yjbH","b4029",2097
"3945","yjbI","b4038",1329
"3946","yjbJ","b4045",210
"3947","yjbL","b4047",255
"3948","yjbM","b4048",708
"3949","yjbQ","b4056",417
"3950","yjbR","b4057",357
"3951","yjbS","b4621",204
"3952","yjbT","b4620",279
"3953","yjcB","b4060",282
"3954","yjcE","b4065",1650
"3955","yjcF","b4066",1293
"3956","yjcH","b4068",315
"3957","yjcO","b4078",690
"3958","yjcS","b4083",1986
"3959","yjcZ","b4110",879
"3960","yjdC","b4135",576
"3961","yjdF","b4121",630
"3962","yjdI","b4126",231
"3963","yjdJ","b4127",273
"3964","yjdM","b4108",336
"3965","yjdN","b4107",444
"3966","yjdP","b4487",330
"3967","yjeF","b4167",1548
"3968","yjeH","b4141",1257
"3969","yjeI","b4144",354
"3970","yjeJ","b4145",870
"3971","yjeM","b4156",1503
"3972","yjeN","b4157",315
"3973","yjeO","b4158",315
"3974","yjeT","b4176",198
"3975","yjeV","b4670",54
"3976","yjfC","b4186",1164
"3977","yjfF","b4231",996
"3978","yjfI","b4181",402
"3979","yjfJ","b4182",699
"3980","yjfK","b4183",660
"3981","yjfL","b4184",399
"3982","yjfM","b4185",639
"3983","yjfN","b4188",276
"3984","yjfP","b4190",750
"3985","yjfY","b4199",276
"3986","yjfZ","b4204",795
"3987","yjgA","b4234",552
"3988","yjgH","b4248",396
"3989","yjgL","b4253",1815
"3990","yjgM","b4256",504
"3991","yjgN","b4257",1197
"3992","yjgR","b4263",1503
"3993","yjgW","b4274",336
"3994","yjgX_1","b4276",360
"3995","yjgX_2","b4275",447
"3996","yjgZ","b4277",330
"3997","yjhB","b4279",1218
"3998","yjhC","b4280",1119
"3999","yjhD","b4281",231
"4000","yjhE","b4282",249
"4001","yjhF","b4296",1350
"4002","yjhG","b4297",1968
"4003","yjhH","b4298",906
"4004","yjhI","b4299",789
"4005","yjhP","b4306",747
"4006","yjhQ","b4307",546
"4007","yjhR","b4308",1017
"4008","yjhU","b4295",987
"4009","yjhV","b4286",414
"4010","yjiA","b4352",957
"4011","yjiC","b4325",831
"4012","yjiG","b4329",462
"4013","yjiH","b4330",684
"4014","yjiJ","b4332",1179
"4015","yjiK","b4333",969
"4016","yjiL","b4334",768
"4017","yjiM","b4335",1152
"4018","yjiN","b4336",1281
"4019","yjiP","b4338",312
"4020","yjiQ","b4339",561
"4021","yjiR","b4340",1413
"4022","yjiS","b4341",165
"4023","yjiT","b4342",1518
"4024","yjiV","b4486",2721
"4025","yjiX","b4353",204
"4026","yjiY","b4354",2151
"4027","yjjA","b4360",495
"4028","yjjB","b4363",327
"4029","yjjG","b4374",678
"4030","yjjI","b4380",1551
"4031","yjjJ","b4385",1332
"4032","yjjP","b4364",771
"4033","yjjQ","b4365",726
"4034","yjjU","b4377",1074
"4035","yjjV","b4378",780
"4036","yjjW","b4379",864
"4037","yjjX","b4394",513
"4038","yjjY","b4402",141
"4039","yjjZ","b4567",237
"4040","yjtD","b4403",687
"4041","ykfA","b0253",864
"4042","ykfB","b0250",468
"4043","ykfC","b0258",1146
"4044","ykfF","b0249",240
"4045","ykfG","b0247",477
"4046","ykfH","b4504",222
"4047","ykfI","b0245",342
"4048","ykfJ","b0235",267
"4049","ykfM","b4586",480
"4050","ykgA","b0300",687
"4051","ykgE","b0306",720
"4052","ykgF","b0307",1428
"4053","ykgG","b0308",696
"4054","ykgH","b0310",669
"4055","ykgJ","b0288",330
"4056","ykgL","b0295",228
"4057","ykgM","b0296",264
"4058","ykgN","b4505",339
"4059","ykgO","b4506",141
"4060","ykgR","b4671",102
"4061","ykiA","b0392",342
"4062","ylaC","b0458",471
"4063","ylbE","b4572",1260
"4064","ylbF","b0520",816
"4065","ylbG","b0502",372
"4066","ylbH","b0499",711
"4067","ylcG","b4509",141
"4068","ylcH","b4588",102
"4069","ylcI","b4589",195
"4070","yliI","b0837",1116
"4071","ymbA","b0952",549
"4072","ymcE","b0991",231
"4073","ymdA","b1044",312
"4074","ymdB","b1045",534
"4075","ymdE","b1028",303
"4076","ymdF","b4518",174
"4077","ymfA","b1122",462
"4078","ymfD","b1137",666
"4079","ymfE","b1138",705
"4080","ymfH","b1142",312
"4081","ymfI","b1143",342
"4082","ymfJ","b1144",309
"4083","ymfK","b1145",675
"4084","ymfL","b1147",570
"4085","ymfM","b1148",339
"4086","ymfN","b1149",1368
"4087","ymfO","b1151",474
"4088","ymfP","b1152",663
"4089","ymfQ","b1153",585
"4090","ymfR","b1150",183
"4091","ymfS","b1155",414
"4092","ymfT","b1146",201
"4093","ymgA","b1165",273
"4094","ymgC","b1167",249
"4095","ymgD","b1171",330
"4096","ymgE","b1195",255
"4097","ymgF","b4520",219
"4098","ymgG","b1172",276
"4099","ymgH","b4521",222
"4100","ymgI","b4593",174
"4101","ymgJ","b4594",186
"4102","ymiA","b4522",165
"4103","ymjA","b1295",246
"4104","ymjB","b4524",114
"4105","ymjC","b4525",183
"4106","ymjD","b4673",66
"4107","ynaA","b1368",1029
"4108","ynaE","b1375",234
"4109","ynaI","b1330",1032
"4110","ynaJ","b1332",258
"4111","ynaK","b1365",264
"4112","ynbA","b1408",606
"4113","ynbB","b1409",897
"4114","ynbC","b1410",1758
"4115","ynbD","b1411",1293
"4116","ynbE","b1382",186
"4117","ynbG","b4674",66
"4118","yncD","b1451",2103
"4119","yncE","b1452",1062
"4120","yncG","b1454",618
"4121","yncH","b1455",213
"4122","yncI","b1458",747
"4123","yncJ","b1436",231
"4124","yncK_1","b4530",168
"4125","yncK_2","b4531",288
"4126","yncL","b4598",96
"4127","yncM","b1459",201
"4128","yneE","b1520",915
"4129","yneG","b1523",360
"4130","yneH","b1524",927
"4131","yneJ","b1526",882
"4132","yneK","b1527",1116
"4133","yneL","b1506",180
"4134","yneM","b4599",96
"4135","ynfA","b1582",327
"4136","ynfB","b1583",342
"4137","ynfC","b1585",711
"4138","ynfD","b1586",306
"4139","ynfE","b1587",2427
"4140","ynfF","b1588",2424
"4141","ynfG","b1589",618
"4142","ynfH","b1590",855
"4143","ynfK","b1593",696
"4144","ynfL","b1595",894
"4145","ynfM","b1596",1254
"4146","ynfN","b1551",156
"4147","ynfO","b4533",234
"4148","ynfP","b4534",111
"4149","ynhF","b4602",90
"4150","yniA","b1725",861
"4151","yniB","b1726",537
"4152","yniC","b1727",669
"4153","yniD","b4535",108
"4154","ynjA","b1753",549
"4155","ynjB","b1754",1167
"4156","ynjC","b1755",1491
"4157","ynjD","b1756",654
"4158","ynjE","b1757",1308
"4159","ynjF","b1758",621
"4160","ynjH","b1760",273
"4161","ynjI","b1762",1041
"4162","yoaA","b1808",1911
"4163","yoaB","b1809",345
"4164","yoaC","b1810",360
"4165","yoaE","b1816",1557
"4166","yoaF","b1793",255
"4167","yoaG","b1796",183
"4168","yoaH","b1811",180
"4169","yoaI","b1788",105
"4170","yoaJ","b4675",75
"4171","yoaK","b4676",99
"4172","yobA","b1841",375
"4173","yobB","b1843",657
"4174","yobD","b1820",459
"4175","yobF","b1824",144
"4176","yobH","b4536",240
"4177","yobI","b4677",66
"4178","yodB","b1974",531
"4179","yodC","b1957",183
"4180","yodD","b1953",228
"4181","yoeA","b1995",393
"4182","yoeB","b4539",255
"4183","yoeE","b1998",261
"4184","yoeF","b4538",357
"4185","yoeI","b4678",63
"4186","yohC","b2135",588
"4187","yohD","b2136",579
"4188","yohF","b2137",762
"4189","yohH","b2139",138
"4190","yohJ","b2141",399
"4191","yohK","b2142",696
"4192","yohO","b4542",108
"4193","yohP","b4679",84
"4194","yojI","b2211",1644
"4195","yojO","b4604",165
"4196","ypaB","b4605",144
"4197","ypdA","b2380",1698
"4198","ypdB","b2381",735
"4199","ypdC","b2382",858
"4200","ypdE","b2384",1038
"4201","ypdF","b2385",1086
"4202","ypdI","b2376",276
"4203","ypdJ","b4545",141
"4204","ypdK","b4680",72
"4205","ypeA","b2434",426
"4206","ypeB","b4546",219
"4207","ypeC","b2390",327
"4208","ypfG","b2466",1044
"4209","ypfH","b2473",699
"4210","ypfJ","b2475",864
"4211","ypfM","b4606",60
"4212","ypfN","b4547",201
"4213","yphA","b2543",495
"4214","yphB","b2544",873
"4215","yphC","b2545",1062
"4216","yphD","b2546",999
"4217","yphE","b2547",1512
"4218","yphF","b2548",984
"4219","yphG","b2549",3282
"4220","yphH","b2550",1194
"4221","ypjA","b2647",4581
"4222","ypjB","b2649",792
"4223","ypjC","b2650",483
"4224","ypjD","b2611",867
"4225","ypjF","b2646",330
"4226","ypjJ","b4548",201
"4227","ypjK","b2635",237
"4228","ypjM_1","b2641",183
"4229","ypjM_2","b2640",201
"4230","ypjM_3","b2639",519
"4231","yqaA","b2689",429
"4232","yqaB","b2690",567
"4233","yqaE","b2666",159
"4234","yqcA","b2790",450
"4235","yqcC","b2792",330
"4236","yqcE","b2775",1278
"4237","yqcG","b4682",141
"4238","yqeA","b2874",933
"4239","yqeB","b2875",1626
"4240","yqeC","b2876",771
"4241","yqeF","b2844",1182
"4242","yqeG","b2845",1230
"4243","yqeH","b2846",633
"4244","yqeI","b2847",810
"4245","yqeJ","b2848",483
"4246","yqeK","b2849",426
"4247","yqeL","b4683",81
"4248","yqfA","b2899",660
"4249","yqfB","b2900",312
"4250","yqfE","b2915",231
"4251","yqfG","b4684",126
"4252","yqgA","b2966",708
"4253","yqgB","b2939",132
"4254","yqgC","b2940",216
"4255","yqgD","b2941",252
"4256","yqgE","b2948",564
"4257","yqgF","b2949",417
"4258","yqhA","b3002",495
"4259","yqhC","b3010",957
"4260","yqhD","b3011",1164
"4261","yqhG","b3013",927
"4262","yqhH","b3014",258
"4263","yqiA","b3031",582
"4264","yqiB","b3033",423
"4265","yqiC","b3042",291
"4266","yqiG","b3046",2466
"4267","yqiH","b3047",750
"4268","yqiI","b3048",1065
"4269","yqiJ","b3050",630
"4270","yqiK","b3051",1662
"4271","yqjA","b3095",663
"4272","yqjC","b3097",369
"4273","yqjD","b3098",306
"4274","yqjE","b3099",405
"4275","yqjF","b3101",393
"4276","yqjG","b3102",987
"4277","yqjH","b3070",765
"4278","yqjI","b3071",624
"4279","yqjK","b3100",300
"4280","yraH","b3142",585
"4281","yraI","b3143",696
"4282","yraJ","b3144",2517
"4283","yraK","b3145",1092
"4284","yraN","b3148",396
"4285","yraP","b3150",576
"4286","yraQ","b3151",1041
"4287","yraR","b3152",636
"4288","yrbG","b3196",978
"4289","yrbL","b3207",633
"4290","yrbN","b4685",81
"4291","yrdA","b3279",555
"4292","yrdB","b3280",258
"4293","yrdD","b3283",543
"4294","yrfF","b3398",2136
"4295","yrfG","b3399",669
"4296","yrhA","b3443",414
"4297","yrhB","b3446",285
"4298","yrhD","b4612",156
"4299","ysaA","b3573",474
"4300","ysaB","b4553",300
"4301","ysgA","b3830",816
"4302","yshB","b4686",111
"4303","ytcA","b4622",276
"4304","ytfA","b4205",327
"4305","ytfB","b4206",639
"4306","ytfE","b4209",663
"4307","ytfF","b4210",975
"4308","ytfH","b4212",381
"4309","ytfI","b4215",939
"4310","ytfJ","b4216",555
"4311","ytfK","b4217",207
"4312","ytfL","b4218",1344
"4313","ytfP","b4222",342
"4314","ytfQ","b4227",957
"4315","ytfR","b4485",1503
"4316","ytfT","b4230",1023
"4317","ythA","b4655",126
"4318","ytjA","b4568",180
"4319","ytjB","b4387",645
"4320","ytjC","b4395",648
"4321","yzcX","b3808",486
"4322","yzfA","b4223",270
"4323","yzgL","b3427",282
"4324","zapA","b2910",330
"4325","zapB","b3928",246
"4326","zapC","b0946",543
"4327","zapD","b0102",744
"4328","zapE","b3232",1128
"4329","zinT","b1973",651
"4330","zipA","b2412",987
"4331","zitB","b0752",942
"4332","zntA","b3469",2199
"4333","zntR","b3292",426
"4334","znuA","b1857",933
"4335","znuB","b1859",786
"4336","znuC","b1858",756
"4337","zraP","b4002",426
"4338","zraR","b4004",1326
"4339","zraS","b4003",1398
"4340","zupT","b3040",774
"4341","zur","b4046",516
"4342","zwf","b1852",1476
